"chi_id_grandeur","chx_parametre_grandeur","chp_cle_grandeur","cht_rev_grandeur","che_actif_grandeur","chd__dtc_grandeur","chd__dtm_grandeur","che__nur_grandeur"
"1","1","actif","autre_libelle('oui')","1","2026-07-05 11:32:29.204","2026-07-05 11:32:29.204","0"
"2","1","passif","autre_libelle('non')","1","2026-07-05 11:32:40.947","2026-07-05 11:32:40.947","0"
